env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,clip0.1,1,390000,1004
HalfCheetah-v5,clip0.1,1,400000,1025
HalfCheetah-v5,clip0.1,1,410000,1048
HalfCheetah-v5,clip0.1,1,420000,1079
HalfCheetah-v5,clip0.1,1,430000,1083
HalfCheetah-v5,clip0.1,1,440000,1076
HalfCheetah-v5,clip0.1,1,450000,1104
HalfCheetah-v5,clip0.1,1,460000,1138
HalfCheetah-v5,clip0.1,1,470000,1148
HalfCheetah-v5,clip0.1,1,480000,1143
HalfCheetah-v5,clip0.1,1,490000,1151
HalfCheetah-v5,clip0.1,1,500000,1159
HalfCheetah-v5,clip0.1,1,510000,1172
HalfCheetah-v5,clip0.1,1,520000,1192
HalfCheetah-v5,clip0.1,1,530000,1191
HalfCheetah-v5,clip0.1,1,540000,1202
HalfCheetah-v5,clip0.1,1,550000,1223
HalfCheetah-v5,clip0.1,1,560000,1242
HalfCheetah-v5,clip0.1,1,570000,1245
HalfCheetah-v5,clip0.1,1,580000,1236
HalfCheetah-v5,clip0.1,1,590000,1244
HalfCheetah-v5,clip0.1,1,600000,1229
HalfCheetah-v5,clip0.1,1,610000,1231
HalfCheetah-v5,clip0.1,1,620000,1248
HalfCheetah-v5,clip0.1,1,630000,1244
HalfCheetah-v5,clip0.1,1,640000,1253
HalfCheetah-v5,clip0.1,1,650000,1281
HalfCheetah-v5,clip0.1,1,660000,1297
HalfCheetah-v5,clip0.1,1,670000,1292
HalfCheetah-v5,clip0.1,1,680000,1298
HalfCheetah-v5,clip0.1,1,690000,1294
HalfCheetah-v5,clip0.1,1,700000,1271
HalfCheetah-v5,clip0.1,1,710000,1290
HalfCheetah-v5,clip0.1,1,720000,1324
HalfCheetah-v5,clip0.1,1,730000,1302
HalfCheetah-v5,clip0.1,1,740000,1289
HalfCheetah-v5,clip0.1,1,750000,1306
HalfCheetah-v5,clip0.1,1,760000,1312
HalfCheetah-v5,clip0.1,1,770000,1309
HalfCheetah-v5,clip0.1,1,780000,1296
HalfCheetah-v5,clip0.1,1,790000,1287
HalfCheetah-v5,clip0.1,1,800000,1308
HalfCheetah-v5,clip0.1,1,810000,1301
HalfCheetah-v5,clip0.1,1,820000,1302
HalfCheetah-v5,clip0.1,1,830000,1310
HalfCheetah-v5,clip0.1,1,840000,1306
HalfCheetah-v5,clip0.1,1,850000,1314
HalfCheetah-v5,clip0.1,1,860000,1329
HalfCheetah-v5,clip0.1,1,870000,1341
HalfCheetah-v5,clip0.1,1,880000,1323
HalfCheetah-v5,clip0.1,1,890000,1333
HalfCheetah-v5,clip0.1,1,900000,1344
HalfCheetah-v5,clip0.1,1,910000,1342
HalfCheetah-v5,clip0.1,1,920000,1336
HalfCheetah-v5,clip0.1,1,930000,1332
HalfCheetah-v5,clip0.1,1,940000,1341
HalfCheetah-v5,clip0.1,1,950000,1351
HalfCheetah-v5,clip0.1,1,960000,1347
HalfCheetah-v5,clip0.1,1,970000,1337
HalfCheetah-v5,clip0.1,1,980000,1342
HalfCheetah-v5,clip0.1,1,990000,1326
HalfCheetah-v5,clip0.1,1,1000000,1330
HalfCheetah-v5,clip0.1,2,10000,-368.6
HalfCheetah-v5,clip0.1,2,20000,-332.6
HalfCheetah-v5,clip0.1,2,30000,-284.3
HalfCheetah-v5,clip0.1,2,40000,-280
HalfCheetah-v5,clip0.1,2,50000,-273
HalfCheetah-v5,clip0.1,2,60000,-238.6
HalfCheetah-v5,clip0.1,2,70000,-205.1
HalfCheetah-v5,clip0.1,2,80000,-179.6
HalfCheetah-v5,clip0.1,2,90000,-142
HalfCheetah-v5,clip0.1,2,100000,-99.34
HalfCheetah-v5,clip0.1,2,110000,-50.55
HalfCheetah-v5,clip0.1,2,120000,6.735
HalfCheetah-v5,clip0.1,2,130000,55.03
HalfCheetah-v5,clip0.1,2,140000,108.3
HalfCheetah-v5,clip0.1,2,150000,167.8
HalfCheetah-v5,clip0.1,2,160000,256.8
HalfCheetah-v5,clip0.1,2,170000,351.4
HalfCheetah-v5,clip0.1,2,180000,409.5
HalfCheetah-v5,clip0.1,2,190000,470.8
HalfCheetah-v5,clip0.1,2,200000,557.7
HalfCheetah-v5,clip0.1,2,210000,617.2
HalfCheetah-v5,clip0.1,2,220000,655.5
HalfCheetah-v5,clip0.1,2,230000,710.3
HalfCheetah-v5,clip0.1,2,240000,761.7
HalfCheetah-v5,clip0.1,2,250000,818.4
HalfCheetah-v5,clip0.1,2,260000,848.6
HalfCheetah-v5,clip0.1,2,270000,877.6
HalfCheetah-v5,clip0.1,2,280000,921.6
HalfCheetah-v5,clip0.1,2,290000,955.2
HalfCheetah-v5,clip0.1,2,300000,983.4
HalfCheetah-v5,clip0.1,2,310000,996.1
HalfCheetah-v5,clip0.1,2,320000,1016
HalfCheetah-v5,clip0.1,2,330000,1023
HalfCheetah-v5,clip0.1,2,340000,1053
HalfCheetah-v5,clip0.1,2,350000,1097
HalfCheetah-v5,clip0.1,2,360000,1107
HalfCheetah-v5,clip0.1,2,370000,1119
HalfCheetah-v5,clip0.1,2,380000,1133
HalfCheetah-v5,clip0.1,2,390000,1149
HalfCheetah-v5,clip0.1,2,400000,1156
HalfCheetah-v5,clip0.1,2,410000,1171
HalfCheetah-v5,clip0.1,2,420000,1186
HalfCheetah-v5,clip0.1,2,430000,1193
HalfCheetah-v5,clip0.1,2,440000,1208
HalfCheetah-v5,clip0.1,2,450000,1219
HalfCheetah-v5,clip0.1,2,460000,1148
HalfCheetah-v5,clip0.1,2,470000,1165
HalfCheetah-v5,clip0.1,2,480000,1263
HalfCheetah-v5,clip0.1,2,490000,1241
HalfCheetah-v5,clip0.1,2,500000,1243
HalfCheetah-v5,clip0.1,2,510000,1270
HalfCheetah-v5,clip0.1,2,520000,1280
HalfCheetah-v5,clip0.1,2,530000,1115
HalfCheetah-v5,clip0.1,2,540000,1106
HalfCheetah-v5,clip0.1,2,550000,1293
HalfCheetah-v5,clip0.1,2,560000,1222
HalfCheetah-v5,clip0.1,2,570000,1132
HalfCheetah-v5,clip0.1,2,580000,1139
HalfCheetah-v5,clip0.1,2,590000,1232
HalfCheetah-v5,clip0.1,2,600000,1318
HalfCheetah-v5,clip0.1,2,610000,1151
HalfCheetah-v5,clip0.1,2,620000,989.2
HalfCheetah-v5,clip0.1,2,630000,1172
HalfCheetah-v5,clip0.1,2,640000,1350
HalfCheetah-v5,clip0.1,2,650000,1259
HalfCheetah-v5,clip0.1,2,660000,1246
HalfCheetah-v5,clip0.1,2,670000,1334
HalfCheetah-v5,clip0.1,2,680000,1355
HalfCheetah-v5,clip0.1,2,690000,1366
HalfCheetah-v5,clip0.1,2,700000,1320
HalfCheetah-v5,clip0.1,2,710000,1289
HalfCheetah-v5,clip0.1,2,720000,1250
HalfCheetah-v5,clip0.1,2,730000,1291
HalfCheetah-v5,clip0.1,2,740000,1389
HalfCheetah-v5,clip0.1,2,750000,1351
HalfCheetah-v5,clip0.1,2,760000,1357
