global_step,return,length
278889,1000.0,1000
279889,1000.0,1000
280889,1000.0,1000
281889,1000.0,1000
282889,1000.0,1000
283889,1000.0,1000
283937,47.0,48
284937,1000.0,1000
285937,1000.0,1000
286937,1000.0,1000
287937,1000.0,1000
288937,1000.0,1000
289937,1000.0,1000
290937,1000.0,1000
291937,1000.0,1000
292937,1000.0,1000
293937,1000.0,1000
294937,1000.0,1000
295937,1000.0,1000
296937,1000.0,1000
297937,1000.0,1000
298937,1000.0,1000
299602,664.0,665
300602,1000.0,1000
301602,1000.0,1000
302602,1000.0,1000
303602,1000.0,1000
304602,1000.0,1000
305523,920.0,921
306523,1000.0,1000
307523,1000.0,1000
308241,717.0,718
308870,628.0,629
309870,1000.0,1000
310870,1000.0,1000
311870,1000.0,1000
312870,1000.0,1000
313870,1000.0,1000
314870,1000.0,1000
315870,1000.0,1000
316870,1000.0,1000
317870,1000.0,1000
318870,1000.0,1000
319870,1000.0,1000
320870,1000.0,1000
321870,1000.0,1000
322365,494.0,495
323365,1000.0,1000
324365,1000.0,1000
325365,1000.0,1000
326365,1000.0,1000
327365,1000.0,1000
328365,1000.0,1000
329365,1000.0,1000
330365,1000.0,1000
331365,1000.0,1000
332365,1000.0,1000
333365,1000.0,1000
334365,1000.0,1000
335365,1000.0,1000
336365,1000.0,1000
337365,1000.0,1000
338365,1000.0,1000
339365,1000.0,1000
340365,1000.0,1000
341356,990.0,991
342356,1000.0,1000
342600,243.0,244
342778,177.0,178
343104,325.0,326
344104,1000.0,1000
345104,1000.0,1000
345396,291.0,292
346396,1000.0,1000
347396,1000.0,1000
348396,1000.0,1000
349396,1000.0,1000
350396,1000.0,1000
351396,1000.0,1000
351985,588.0,589
352985,1000.0,1000
353985,1000.0,1000
354985,1000.0,1000
355985,1000.0,1000
356985,1000.0,1000
357985,1000.0,1000
358985,1000.0,1000
359985,1000.0,1000
360985,1000.0,1000
361985,1000.0,1000
362985,1000.0,1000
363985,1000.0,1000
364985,1000.0,1000
365985,1000.0,1000
366985,1000.0,1000
367985,1000.0,1000
368644,658.0,659
368785,140.0,141
368925,139.0,140
369309,383.0,384
370309,1000.0,1000
371309,1000.0,1000
372309,1000.0,1000
372578,268.0,269
372818,239.0,240
373818,1000.0,1000
374818,1000.0,1000
375818,1000.0,1000
376818,1000.0,1000
377757,938.0,939
378757,1000.0,1000
379757,1000.0,1000
380757,1000.0,1000
381757,1000.0,1000
382167,409.0,410
383167,1000.0,1000
384167,1000.0,1000
385167,1000.0,1000
386167,1000.0,1000
387167,1000.0,1000
387229,61.0,62
387993,763.0,764
388085,91.0,92
388348,262.0,263
389113,764.0,765
389665,551.0,552
389706,40.0,41
390551,844.0,845
390997,445.0,446
391104,106.0,107
391940,835.0,836
392086,145.0,146
392918,831.0,832
393918,1000.0,1000
394918,1000.0,1000
395668,749.0,750
396668,1000.0,1000
397668,1000.0,1000
397936,267.0,268
398936,1000.0,1000
399936,1000.0,1000
400936,1000.0,1000
401936,1000.0,1000
402936,1000.0,1000
403936,1000.0,1000
404936,1000.0,1000
405378,441.0,442
406047,668.0,669
406809,761.0,762
407488,678.0,679
408488,1000.0,1000
409488,1000.0,1000
410488,1000.0,1000
411488,1000.0,1000
412488,1000.0,1000
413488,1000.0,1000
414488,1000.0,1000
415488,1000.0,1000
416488,1000.0,1000
417488,1000.0,1000
418486,997.0,998
418982,495.0,496
419982,1000.0,1000
420982,1000.0,1000
421982,1000.0,1000
422982,1000.0,1000
423982,1000.0,1000
424982,1000.0,1000
425982,1000.0,1000
426982,1000.0,1000
427982,1000.0,1000
428982,1000.0,1000
429982,1000.0,1000
430982,1000.0,1000
431982,1000.0,1000
432982,1000.0,1000
433982,1000.0,1000
434982,1000.0,1000
435982,1000.0,1000
436982,1000.0,1000
437982,1000.0,1000
438982,1000.0,1000
439982,1000.0,1000
440982,1000.0,1000
441982,1000.0,1000
442982,1000.0,1000
443982,1000.0,1000
444982,1000.0,1000
445982,1000.0,1000
446982,1000.0,1000
447982,1000.0,1000
448982,1000.0,1000
449982,1000.0,1000
450982,1000.0,1000
451982,1000.0,1000
452961,978.0,979
453369,407.0,408
453964,594.0,595
454329,364.0,365
454711,381.0,382
455711,1000.0,1000
456711,1000.0,1000
457711,1000.0,1000
458711,1000.0,1000
459711,1000.0,1000
460711,1000.0,1000
461711,1000.0,1000
462711,1000.0,1000
463711,1000.0,1000
464711,1000.0,1000
465711,1000.0,1000
466711,1000.0,1000
467711,1000.0,1000
468711,1000.0,1000
469711,1000.0,1000
470711,1000.0,1000
471575,863.0,864
472575,1000.0,1000
473575,1000.0,1000
474575,1000.0,1000
475575,1000.0,1000
476575,1000.0,1000
477575,1000.0,1000
477996,420.0,421
478996,1000.0,1000
479996,1000.0,1000
480996,1000.0,1000
481996,1000.0,1000
482996,1000.0,1000
483996,1000.0,1000
484996,1000.0,1000
485996,1000.0,1000
486996,1000.0,1000
487505,508.0,509
488505,1000.0,1000
488678,172.0,173
489678,1000.0,1000
490678,1000.0,1000
491678,1000.0,1000
492678,1000.0,1000
493678,1000.0,1000
493858,179.0,180
494451,592.0,593
495451,1000.0,1000
495805,353.0,354
496805,1000.0,1000
497805,1000.0,1000
498201,395.0,396
498591,389.0,390
498760,168.0,169
499760,1000.0,1000
500760,1000.0,1000
501306,545.0,546
502306,1000.0,1000
503306,1000.0,1000
504128,821.0,822
505128,1000.0,1000
506128,1000.0,1000
507128,1000.0,1000
508128,1000.0,1000
508693,564.0,565
509693,1000.0,1000
510188,494.0,495
511188,1000.0,1000
511625,436.0,437
512625,1000.0,1000
512748,122.0,123
513748,1000.0,1000
514232,483.0,484
514596,363.0,364
515253,656.0,657
516253,1000.0,1000
517253,1000.0,1000
518253,1000.0,1000
519253,1000.0,1000
520253,1000.0,1000
521253,1000.0,1000
522253,1000.0,1000
523253,1000.0,1000
523596,342.0,343
524596,1000.0,1000
525596,1000.0,1000
526596,1000.0,1000
527596,1000.0,1000
528596,1000.0,1000
529596,1000.0,1000
529793,196.0,197
530793,1000.0,1000
531607,813.0,814
532162,554.0,555
532991,828.0,829
533991,1000.0,1000
534782,790.0,791
535181,398.0,399
536181,1000.0,1000
536321,139.0,140
537321,1000.0,1000
538321,1000.0,1000
539321,1000.0,1000
540321,1000.0,1000
541321,1000.0,1000
542321,1000.0,1000
542695,373.0,374
543129,433.0,434
544129,1000.0,1000
545129,1000.0,1000
546129,1000.0,1000
547129,1000.0,1000
548129,1000.0,1000
549129,1000.0,1000
550129,1000.0,1000
551129,1000.0,1000
552129,1000.0,1000
553129,1000.0,1000
554129,1000.0,1000
555129,1000.0,1000
556129,1000.0,1000
556423,293.0,294
556905,481.0,482
557905,1000.0,1000
558905,1000.0,1000
559905,1000.0,1000
560905,1000.0,1000
561905,1000.0,1000
562905,1000.0,1000
563905,1000.0,1000
564905,1000.0,1000
565905,1000.0,1000
566905,1000.0,1000
567905,1000.0,1000
568905,1000.0,1000
569905,1000.0,1000
570905,1000.0,1000
571905,1000.0,1000
572905,1000.0,1000
573905,1000.0,1000
574905,1000.0,1000
575905,1000.0,1000
576905,1000.0,1000
577905,1000.0,1000
578905,1000.0,1000
579905,1000.0,1000
580905,1000.0,1000
581905,1000.0,1000
582905,1000.0,1000
583905,1000.0,1000
584905,1000.0,1000
585905,1000.0,1000
586905,1000.0,1000
587905,1000.0,1000
588905,1000.0,1000
589905,1000.0,1000
590905,1000.0,1000
591905,1000.0,1000
592905,1000.0,1000
593905,1000.0,1000
594905,1000.0,1000
595905,1000.0,1000
596905,1000.0,1000
597905,1000.0,1000
598905,1000.0,1000
599905,1000.0,1000
600905,1000.0,1000
601905,1000.0,1000
602905,1000.0,1000
603905,1000.0,1000
604905,1000.0,1000
605905,1000.0,1000
606905,1000.0,1000
607127,221.0,222
608127,1000.0,1000
609127,1000.0,1000
610127,1000.0,1000
611127,1000.0,1000
612127,1000.0,1000
613127,1000.0,1000
614127,1000.0,1000
615127,1000.0,1000
616127,1000.0,1000
617127,1000.0,1000
618127,1000.0,1000
619127,1000.0,1000
620127,1000.0,1000
621127,1000.0,1000
622127,1000.0,1000
623127,1000.0,1000
624127,1000.0,1000
625127,1000.0,1000
626127,1000.0,1000
627127,1000.0,1000
628127,1000.0,1000
629127,1000.0,1000
630127,1000.0,1000
631127,1000.0,1000
632127,1000.0,1000
632263,135.0,136
633263,1000.0,1000
633603,339.0,340
634603,1000.0,1000
635603,1000.0,1000
636603,1000.0,1000
637603,1000.0,1000
638603,1000.0,1000
639603,1000.0,1000
640486,882.0,883
641486,1000.0,1000
642486,1000.0,1000
643486,1000.0,1000
644486,1000.0,1000
645486,1000.0,1000
646486,1000.0,1000
646675,188.0,189
647675,1000.0,1000
648429,753.0,754
649429,1000.0,1000
650429,1000.0,1000
651429,1000.0,1000
652429,1000.0,1000
653429,1000.0,1000
654429,1000.0,1000
655429,1000.0,1000
656429,1000.0,1000
657429,1000.0,1000
658429,1000.0,1000
659429,1000.0,1000
660429,1000.0,1000
661429,1000.0,1000
662429,1000.0,1000
663429,1000.0,1000
664026,596.0,597
665026,1000.0,1000
666026,1000.0,1000
667026,1000.0,1000
667655,628.0,629
668655,1000.0,1000
669655,1000.0,1000
670655,1000.0,1000
671655,1000.0,1000
672655,1000.0,1000
673655,1000.0,1000
674655,1000.0,1000
675655,1000.0,1000
676655,1000.0,1000
677655,1000.0,1000
678655,1000.0,1000
679655,1000.0,1000
680655,1000.0,1000
681655,1000.0,1000
682655,1000.0,1000
683655,1000.0,1000
684655,1000.0,1000
685655,1000.0,1000
686655,1000.0,1000
687267,611.0,612
688267,1000.0,1000
689267,1000.0,1000
690267,1000.0,1000
691267,1000.0,1000
692267,1000.0,1000
693267,1000.0,1000
694267,1000.0,1000
695267,1000.0,1000
696267,1000.0,1000
697267,1000.0,1000
697424,156.0,157
698424,1000.0,1000
699424,1000.0,1000
700424,1000.0,1000
701424,1000.0,1000
702424,1000.0,1000
703424,1000.0,1000
704424,1000.0,1000
705424,1000.0,1000
706424,1000.0,1000
707424,1000.0,1000
708424,1000.0,1000
709424,1000.0,1000
710424,1000.0,1000
711424,1000.0,1000
712424,1000.0,1000
712615,190.0,191
713615,1000.0,1000
714615,1000.0,1000
715615,1000.0,1000
715865,249.0,250
716865,1000.0,1000
717865,1000.0,1000
718865,1000.0,1000
719865,1000.0,1000
720865,1000.0,1000
720923,57.0,58
721923,1000.0,1000
722556,632.0,633
722844,287.0,288
723844,1000.0,1000
724050,205.0,206
724966,915.0,916
725966,1000.0,1000
726966,1000.0,1000
727966,1000.0,1000
728966,1000.0,1000
729966,1000.0,1000
730966,1000.0,1000
731966,1000.0,1000
732600,633.0,634
733600,1000.0,1000
734600,1000.0,1000
735385,784.0,785
735855,469.0,470
736855,1000.0,1000
737855,1000.0,1000
738855,1000.0,1000
739855,1000.0,1000
740855,1000.0,1000
741553,697.0,698
742553,1000.0,1000
743553,1000.0,1000
744553,1000.0,1000
745081,527.0,528
746081,1000.0,1000
747081,1000.0,1000
748081,1000.0,1000
749081,1000.0,1000
750081,1000.0,1000
751081,1000.0,1000
752081,1000.0,1000
753081,1000.0,1000
754081,1000.0,1000
755081,1000.0,1000
756081,1000.0,1000
757081,1000.0,1000
758081,1000.0,1000
759081,1000.0,1000
760081,1000.0,1000
761081,1000.0,1000
762081,1000.0,1000
763081,1000.0,1000
763670,588.0,589
764670,1000.0,1000
765670,1000.0,1000
765964,293.0,294
766964,1000.0,1000
767964,1000.0,1000
768964,1000.0,1000
769964,1000.0,1000
770964,1000.0,1000
771964,1000.0,1000
772964,1000.0,1000
773964,1000.0,1000
774964,1000.0,1000
775964,1000.0,1000
776964,1000.0,1000
777964,1000.0,1000
778964,1000.0,1000
779964,1000.0,1000
780964,1000.0,1000
781964,1000.0,1000
782964,1000.0,1000
783964,1000.0,1000
784908,943.0,944
785850,941.0,942
786850,1000.0,1000
